id,titulo
101884,2.3.1.3.11. Inmigraciones procedentes del extranjero por nacionalidad (regiones) según sexo
22637,2.3.2.1.1. Emigraciones por sexo
22640,2.3.2.1.2. Emigraciones por sexo y grupos de edad
22677,2.3.2.1.3. Emigraciones interiores por sexo
22680,2.3.2.1.4. Emigraciones interiores por sexo y grupos de edad
22802,2.3.2.1.5. Emigraciones exteriores por sexo
22817,2.3.2.1.6. Emigraciones exteriores por sexo y grupos de edad
22822,2.3.2.1.7. Emigraciones al extranjero por sexo
22824,2.3.2.1.8. Emigraciones al extranjero por sexo y grupos de edad
22826,2.3.2.1.9. Emigraciones al extranjero por sexo y nacionalidad
22827,2.3.2.2.1. Inmigraciones por sexo
22866,2.3.2.2.2. Inmigraciones por sexo y grupos de edad
22867,2.3.2.2.3. Inmigraciones interiores por sexo
22869,2.3.2.2.4. Inmigraciones interiores por sexo y grupos de edad
22894,2.3.2.2.5. Inmigraciones exteriores por sexo
22968,2.3.2.2.6. Inmigraciones exteriores por sexo y grupos de edad
22874,2.3.2.2.7. Inmigraciones procedentes del extranjero por sexo
22971,2.3.2.2.8. Inmigraciones procedentes del extranjero por sexo y grupos de edad
22974,2.3.2.2.9. Inmigraciones procedentes del extranjero por sexo y nacionalidad
36361,2.4.1. Edad media de la población por sexo (Padrón)
36362,2.4.2. Edad media de la población por nacionalidad (Padrón)
51752,2.4.3. Índice de dependencia
51744,2.4.4. Índice de envejecimiento
19064,3.1.1.1.1. Centros públicos por nivel educativo
18417,3.1.1.1.2. Centros públicos de adultos
18943,3.1.1.2.1. Centros privados concertados por nivel educativo
51470,3.1.1.2.2. Centros privados no concertados por nivel educativo
51471,3.1.1.2.3. Centros extranjeros por nivel educativo
68219,3.1.1.3.1. Centros de Enseñanza de Régimen Especial
18829,3.1.2.1.1. Alumnos en centros públicos por nivel educativo y sexo
18864,3.1.2.1.2. Alumnos en centros públicos de adultos por sexo
18868,3.1.2.2.1. Alumnos en centros privados concertados por nivel educativo y sexo
18894,3.1.2.2.2. Alumnos en centros privados no concertados por nivel educativo y sexo
18895,3.1.2.2.3. Alumnos en centros extranjeros por nivel educativo y sexo
68243,3.1.2.3.1. Alumnos en centros de Enseñanza de Régimen Especial
19072,3.1.3.1.1. Profesores en centros públicos por nivel educativo y sexo
19075,3.1.3.1.2. Profesores en centros públicos de adultos por sexo
19186,3.1.3.2.1. Profesores en centros privados por nivel educativo y sexo
50217,3.1.3.2.2. Profesores en centros privados no concertados por nivel educativo y sexo
50218,3.1.3.2.3. Profesores en centros extranjeros por nivel educativo y sexo
68244,3.1.3.3.1. Profesores en centros de Enseñanza de Régimen Especial
19209,3.1.4.1. Unidades en centros públicos por nivel educativo
28542,3.1.4.2. Unidades en centros privados concertados por nivel educativo
51427,3.1.4.3. Unidades en centros privados no concertados por nivel educativo
40161,3.2.1.1. Recursos de atención primaria
88198,3.2.1.2. Recursos de atención especializada: Centros. Desde 2010
88200,3.2.1.3. Recursos de atención especializada: Camas. Desde 2010
19296,3.2.1.4. Recursos de atención especializada: Centros (1991-2009)
19294,3.2.1.5. Recursos de atención especializada: Camas (1991-2009)
40263,3.2.1.6. Farmacias y número de habitantes por farmacia
40249,3.2.2.1. Defunciones por causa de muerte (10ª revisión de la CIE)
54408,3.2.2.2. Defunciones por causa de muerte y sexo (9ª revisión de la CIE). (1980-1998)
29315,3.3.1.1.1. Edificios e inmuebles
29317,3.3.1.1.2. Edificios por número de inmuebles
29319,3.3.1.1.3. Edificios por número de plantas sobre rasante
29321,3.3.1.1.4. Edificios por número de plantas bajo rasante
29322,3.3.1.1.5. Edificios destinados a viviendas por año de construcción del edificio
29323,3.3.1.1.6. Edificios destinados a viviendas por estado del edificio
29324,3.3.1.1.7. Número de inmuebles en edificios destinados a viviendas por número de plantas sobre rasante
29325,3.3.1.1.8. Número de inmuebles en edificios destinados a viviendas por año de construcción
29326,3.3.1.1.9. Número de inmuebles en edificios destinados a viviendas por accesibilidad al edificio
29372,3.3.1.2.1. Número de edificios según tipo de edificio. Censo 2001
29497,3.3.1.2.2. Edificios destinados a viviendas según instalaciones. Censo 2001
24749,"3.3.1.2.3. Edificios por destino. Censo de edificios (1980,1990)"
